Number,target_variable,Ankle plantar/dorsiflexion angle(бу),Ankle in/eversion angle(бу),Hip ad/abduction angle(бу),Knee flex/extension angle(бу),Knee ad/abduction angle(бу),Knee in/external rotation angle(бу),M/L pelvic lean(бу),Vertical pelvic lean(бу),Vertical trunk lean(бу),M/L COM position(mm),Vertical COM position(mm)
420,14.24040539,23.1528,4.32264,1.54338,27.0906,2.29396,5.63363,-0.930297,-7.55185,-5.14508,716.618,990.605
421,20.69141915,25.6518,3.45526,6.69663,36.3566,18.6456,-5.877,-2.08524,-1.74641,-8.05465,769.856,951.882
422,21.11209688,26.1329,3.47457,6.43277,35.6795,18.3345,-5.98643,-2.28358,-1.58147,-8.44267,753.94,952.959
423,21.34087196,26.3379,3.48409,6.12737,34.7183,17.9275,-6.32366,-2.48952,-1.37941,-8.80073,737.99,954.698
424,21.38119338,26.2443,3.48345,5.78749,33.5071,17.4278,-6.87958,-2.70002,-1.1433,-9.13002,721.995,957.067
425,21.20008847,25.8308,3.47197,5.42002,32.082,16.8378,-7.64112,-2.91192,-0.876585,-9.43142,705.944,960.027
426,20.82837674,25.0772,3.44842,5.03179,30.4801,16.1596,-8.59274,-3.12207,-0.583166,-9.70571,689.83,963.531
427,10.61561277,24.0354,0.662399,3.59388,39.9503,13.3476,-0.883175,-2.0392,-9.46437,-2.46057,743.976,953.713
428,10.88218173,24.4195,0.611184,2.93147,38.8701,13.3212,-1.69661,-2.44152,-9.38821,-3.07415,724.741,956.072
429,11.03920178,24.5897,0.555498,2.25028,37.6871,13.2414,-2.58163,-2.84769,-9.30374,-3.68881,705.466,958.752
430,11.07632344,24.5277,0.492532,1.55773,36.4245,13.1043,-3.5415,-3.25413,-9.21701,-4.30653,686.147,961.728
431,10.98860684,24.2164,0.419236,0.860077,35.1047,12.9109,-4.58326,-3.6575,-9.13308,-4.92842,666.78,964.974
432,10.75570596,23.64,0.332842,0.162405,33.7478,12.6669,-5.71385,-4.05473,-9.05599,-5.55476,647.365,968.459
433,15.35542118,20.2648,-0.303045,5.16322,30.7804,-3.07271,17.0366,2.69741,-2.94892,-6.28766,752.174,982.48
434,15.66936985,20.8717,-0.371983,5.06921,30.411,-3.34123,17.1436,2.52332,-3.12242,-7.01775,734.438,983.073
435,15.86877047,21.2013,-0.453135,4.89612,29.8003,-3.45645,17.0159,2.28511,-3.24422,-7.70782,716.645,984.284
436,15.94885442,21.2339,-0.544841,4.64408,28.9731,-3.41885,16.6454,1.98438,-3.3074,-8.35322,698.792,986.075
437,15.89907404,20.948,-0.646232,4.31564,27.9573,-3.23568,16.0239,1.6243,-3.30807,-8.9519,680.875,988.399
438,15.70122366,20.3214,-0.756926,3.91593,26.7827,-2.92071,15.148,1.20967,-3.2456,-9.5044,662.892,991.202
439,11.50069927,28.9295,6.3627,6.70718,42.8518,16.1608,12.7742,-6.54549,-11.9039,1.29992,840.755,1057.79
440,11.61979902,29.0627,6.3682,6.49367,42.1084,16.1454,12.6076,-6.70626,-12.1317,0.557513,823.757,1058.83
441,11.66414735,29.0081,6.36115,6.21395,41.2033,16.1009,12.3032,-6.85988,-12.3175,-0.154669,806.682,1060.4
442,11.67127223,28.7536,6.33859,5.87969,40.1546,16.006,11.8593,-6.99881,-12.4542,-0.832536,789.521,1062.49
443,11.6152859,28.2879,6.29718,5.5036,38.979,15.8438,11.2741,-7.11623,-12.5357,-1.47248,772.269,1065.06
444,11.5018619,27.6003,6.23337,5.09859,37.6923,15.603,10.5453,-7.20652,-12.5568,-2.07137,754.92,1068.09
445,10.28917051,24.0047,1.72409,12.2578,37.9762,1.13966,-6.47488,1.39486,-14.5119,-8.8365,635.548,990.762
446,10.50857544,24.1497,1.63811,11.673,37.2304,0.873187,-6.55238,1.02,-14.5387,-9.34017,618.56,991.832
447,10.61830871,24.1515,1.53094,11.0104,36.4528,0.606256,-6.70436,0.611734,-14.545,-9.83985,601.459,993.289
448,10.60864348,23.9953,1.40425,10.2718,35.6401,0.346427,-6.92732,0.173102,-14.5303,-10.3332,584.242,995.12
449,10.50922105,23.6651,1.25982,9.45838,34.7842,0.102248,-7.21721,-0.292297,-14.4934,-10.817,566.91,997.305
450,10.28874174,23.1443,1.09915,8.57128,33.8753,-0.117401,-7.57055,-0.780225,-14.4322,-11.2875,549.463,999.822
451,13.88453071,27.8499,1.75123,2.17628,38.23,8.36362,13.3885,2.6486,4.48983,-4.60284,842.087,926.323
452,14.12504002,28.1693,1.67035,2.00663,36.6765,8.05498,12.6183,2.3698,5.08353,-4.77799,824.109,927.539
453,14.19001363,28.2771,1.56614,1.86157,34.9707,7.72718,11.5084,2.06107,5.69756,-4.95997,806.072,929.133
454,14.10580512,28.1699,1.44174,1.74017,33.1491,7.3886,10.0886,1.72682,6.32511,-5.14764,787.968,931.079
455,13.91903458,27.843,1.30005,1.63911,31.2483,7.04928,8.39423,1.37217,6.95893,-5.33958,769.792,933.347
456,13.6074251,27.2902,1.14349,1.55363,29.3046,6.72007,6.46399,1.00299,7.59136,-5.53434,751.539,935.905
457,13.4932323,29.5201,1.49796,5.20512,45.2467,2.70842,8.80837,2.17503,-8.89324,-5.78135,716.948,939.141
458,13.672348,29.7182,1.4432,4.74365,44.2156,2.63106,8.17559,1.91373,-8.45968,-6.21744,701.671,940.958
459,13.7721243,29.7452,1.38108,4.27167,43.0919,2.56238,7.4552,1.63668,-8.01677,-6.64396,686.341,943.113
460,13.78295036,29.5947,1.31155,3.79109,41.8946,2.50619,6.65553,1.34745,-7.56747,-7.05721,670.954,945.581
461,13.7227742,29.2599,1.23424,3.30364,40.6418,2.46597,5.78405,1.04978,-7.11455,-7.45385,655.508,948.334
462,13.578253,28.7331,1.14848,2.81083,39.3508,2.44487,4.84749,0.747412,-6.66062,-7.83117,640.001,951.346
463,11.25261403,33.3909,4.18982,7.36918,37.4961,16.9243,9.07794,5.03454,-13.4971,-13.1938,802.909,974.806
464,11.37733404,33.3743,4.12517,6.78404,36.583,16.0867,9.10183,4.66142,-13.6311,-13.9004,784.536,976.082
465,11.45220219,33.1583,4.05534,6.17438,35.5718,15.2038,9.03713,4.28947,-13.7359,-14.5919,766.063,977.67
466,11.46465068,32.7242,3.98065,5.54782,34.465,14.2882,8.876,3.92279,-13.8118,-15.2807,747.483,979.549
467,11.41083069,32.0512,3.90112,4.91113,33.2639,13.355,8.6083,3.56454,-13.859,-15.9778,728.791,981.7
468,11.2784817,31.1175,3.8165,4.27039,31.9688,12.4199,8.22284,3.21715,-13.8776,-16.6917,709.983,984.1
469,13.79127163,25.5213,5.36626,5.27764,24.2346,12.5284,15.1816,1.95883,-3.13272,-1.34044,703.869,1007.62
470,13.91327953,25.5124,5.23463,4.85981,23.4324,11.4855,14.9056,1.52801,-2.76897,-1.79642,687.558,1009.67
471,13.95413844,25.2506,5.10441,4.41098,22.4461,10.4872,14.4895,1.08067,-2.39492,-2.26363,671.218,1012.08
472,13.91480614,24.7322,4.98152,3.93973,21.285,9.54688,13.9562,0.623955,-2.0146,-2.74296,654.849,1014.8
473,13.80095658,23.9534,4.86946,3.45532,19.9681,8.66965,13.3296,0.164644,-1.6316,-3.23389,638.451,1017.83
474,13.58137409,22.9098,4.76905,2.96696,18.5229,7.85359,12.6314,-0.291018,-1.24894,-3.73448,622.019,1021.13
475,15.20112887,32.4535,4.03534,-3.00519,33.1375,29.2654,9.73914,-0.475833,-6.92511,-5.78393,794.702,898.389
476,15.34073328,32.3244,3.99159,-3.57903,32.4077,28.6063,9.42363,-0.840553,-6.79376,-6.3526,778.202,899.972
477,15.40972532,32.0081,3.94891,-4.17756,31.5518,27.9048,9.01557,-1.21304,-6.62851,-6.90311,761.603,901.948
478,15.40439373,31.4925,3.90705,-4.79726,30.571,27.1669,8.51858,-1.59005,-6.42804,-7.43047,744.903,904.3
479,15.31596952,30.7629,3.86532,-5.43379,29.4685,26.398,7.93564,-1.96833,-6.19147,-7.93022,728.098,907.007
480,15.1364784,29.8025,3.82265,-6.08179,28.2485,25.6018,7.2697,-2.34458,-5.91863,-8.39861,711.185,910.047
481,9.714755645,27.4729,0.983836,0.90285,34.9114,12.2201,-9.78607,-3.48208,-4.42427,-2.24495,753.482,967.81
482,9.977633396,27.715,0.929729,0.507259,33.5164,11.7188,-10.4816,-3.67067,-4.22496,-2.60104,734.193,970.228
483,10.12172242,27.7116,0.86818,0.0814108,31.9018,11.1763,-11.3098,-3.86436,-3.99055,-2.9395,714.846,973.006
484,10.12718054,27.4398,0.79982,-0.370852,30.0903,10.5987,-12.2512,-4.06161,-3.72629,-3.26509,695.439,976.116
485,10.03764981,26.8781,0.724777,-0.844275,28.1104,9.99047,-13.2864,-4.26058,-3.4383,-3.58254,675.97,979.522
486,9.833671138,26.0068,0.642935,-1.33218,25.9958,9.35514,-14.3952,-4.45908,-3.13317,-3.89641,656.438,983.19
487,23.05354233,20.2969,2.60498,4.7286,34.4281,19.5163,9.31407,-1.06797,-8.34293,2.97942,644.71,913.265
488,23.56138491,20.8033,2.57919,4.19323,33.9324,19.2147,9.18889,-1.31669,-8.21921,2.26098,621.982,914.85
489,23.81193327,20.9684,2.53446,3.56763,33.185,18.8739,8.84031,-1.5914,-8.05761,1.55639,599.174,916.976
490,23.77762874,20.7731,2.46981,2.86206,32.2087,18.4941,8.27228,-1.89071,-7.86507,0.86453,576.276,919.618
491,23.38053422,20.2008,2.38421,2.08824,31.0253,18.0742,7.48909,-2.21233,-7.64878,0.184734,553.281,922.743
492,22.64513865,19.2373,2.27664,1.25893,29.655,17.6135,6.49512,-2.55316,-7.41586,-0.483006,530.182,926.306
493,18.70536079,31.5506,2.27763,6.95709,21.2067,31.1838,-5.88231,1.86131,-3.76639,-6.53701,802.828,951.243
494,18.92737672,32.0543,2.26235,6.52198,20.3966,30.2109,-6.16035,1.61535,-3.54457,-6.89064,785.313,953.294
495,19.06358416,32.3535,2.24795,6.05303,19.4765,29.1092,-6.52377,1.35536,-3.30101,-7.23474,767.738,955.739
496,19.12273074,32.4253,2.23379,5.55546,18.4618,27.8917,-6.9777,1.08512,-3.03545,-7.57296,750.098,958.553
497,19.06030994,32.2463,2.21897,5.03453,17.367,26.5747,-7.52959,0.808512,-2.74751,-7.90763,732.388,961.707
498,18.92821921,31.7936,2.20241,4.49552,16.2049,25.1769,-8.18808,0.529491,-2.43683,-8.23975,714.603,965.173
499,13.32620558,21.1952,2.02713,1.72348,31.3353,15.6227,4.38976,1.21045,-3.54517,-6.07138,631.238,972.899
500,13.60028265,21.3898,2.045,1.58684,30.4644,15.3775,4.05429,1.07963,-3.35442,-6.39129,614.045,973.409
501,13.74229571,21.3774,2.05022,1.41855,29.4332,15.0897,3.58177,0.913589,-3.20724,-6.74917,596.673,974.474
502,13.7820694,21.1403,2.04137,1.22061,28.2546,14.7573,2.97352,0.719713,-3.10504,-7.15026,579.119,976.069
503,13.68743827,20.6603,2.017,0.994825,26.9407,14.3797,2.23072,0.506918,-3.04462,-7.59513,561.386,978.161
504,13.45577268,19.9187,1.9757,0.743159,25.5024,13.9575,1.35458,0.284796,-3.01833,-8.07966,543.479,980.71
505,11.17303831,21.6811,2.21111,15.8931,34.6192,2.02616,-6.20627,5.11293,-10.961,-1.0084,775.103,985.381
506,11.29711872,21.9355,2.13428,15.2535,33.644,1.80653,-6.42447,4.80658,-10.6046,-1.55887,760.206,986.869
507,11.34076887,22.0451,2.04236,14.5917,32.5741,1.58316,-6.72806,4.48272,-10.243,-2.13463,745.265,988.702
508,11.31791388,22.0063,1.93892,13.9136,31.4273,1.3656,-7.10547,4.14305,-9.88367,-2.73873,730.281,990.859
509,11.22730018,21.8153,1.82685,13.2223,30.2203,1.16219,-7.54651,3.78911,-9.5326,-3.37161,715.254,993.315
510,11.07374425,21.4681,1.70812,12.5194,28.9696,0.979653,-8.04279,3.42239,-9.19388,-4.0313,700.183,996.044
511,25.50901273,28.4955,2.39894,7.87656,39.4558,5.85391,8.0773,1.97423,-9.57887,-5.98254,774.418,900.925
512,26.0482627,28.9572,2.41108,7.5048,38.156,5.24054,7.98473,1.43875,-9.56518,-7.09427,755.448,901.563
513,26.26986312,29.1448,2.40736,7.07375,36.6685,4.69204,7.62966,0.896677,-9.484,-8.12634,736.321,902.705
514,26.262839,29.0269,2.38483,6.57645,35.0113,4.21102,7.0075,0.349533,-9.33341,-9.06825,717.03,904.339
515,25.96864998,28.5727,2.33981,6.00727,33.2002,3.79863,6.11614,-0.200995,-9.11348,-9.91279,697.569,906.444
516,25.36564439,27.7518,2.26814,5.36274,31.2503,3.45402,4.95759,-0.752971,-8.8264,-10.6564,677.935,908.993
517,13.38600413,25.3983,1.63517,7.27144,33.6782,13.8326,-13.9036,-2.07131,-9.17544,-4.00352,811.958,944.058
518,13.62905114,25.5845,1.57174,6.58018,32.6464,13.198,-13.9881,-2.38514,-8.97999,-4.78241,795.336,945.237
519,13.77510352,25.5999,1.49342,5.87156,31.5343,12.517,-14.1764,-2.71445,-8.77873,-5.5773,778.65,946.759
520,13.83862772,25.4375,1.40105,5.15676,30.3608,11.8049,-14.4748,-3.05457,-8.57616,-6.38629,761.891,948.61
521,13.76251912,25.089,1.2955,4.44406,29.1418,11.0783,-14.8895,-3.40095,-8.37566,-7.2057,745.049,950.774
522,13.59375161,24.5442,1.17765,3.739,27.89,10.3536,-15.4254,-3.74915,-8.17939,-8.03024,728.118,953.232
523,11.74556173,26.0476,4.2971,2.83858,29.4271,12.5541,13.4154,1.45562,-3.01789,-0.795294,773.409,982.677
524,11.846409,26.0949,4.24111,2.53067,28.414,12.185,12.8981,1.18778,-2.78319,-1.43538,758.164,984.012
525,11.90204315,25.9994,4.1801,2.22366,27.3229,11.7958,12.274,0.903218,-2.56583,-2.08776,742.868,985.655
526,11.92023224,25.7497,4.11405,1.9172,26.1661,11.3909,11.5463,0.603798,-2.36738,-2.75157,727.516,987.594
527,11.88513138,25.3325,4.04235,1.6103,24.9542,10.9744,10.7179,0.291826,-2.18875,-3.42491,712.103,989.809
528,11.80665446,24.7332,3.96371,1.30165,23.6964,10.5497,9.79156,-0.0299598,-2.03018,-4.10498,696.624,992.283
529,14.62799263,31.7779,4.72032,5.42342,44.8876,11.2763,20.5395,-1.99293,-5.87377,-7.32522,740.678,1021.57
530,14.7808773,32.1431,4.64867,5.06244,43.8469,10.6328,20.2981,-2.27017,-5.78104,-8.12727,721.388,1023.16
531,14.85405217,32.2618,4.56445,4.66313,42.6407,9.97037,19.9168,-2.56909,-5.67905,-8.91607,701.995,1025.22
532,14.83955325,32.1133,4.46962,4.22827,41.2817,9.29369,19.4016,-2.88783,-5.56642,-9.69011,682.493,1027.72
533,14.77938053,31.6765,4.3655,3.76038,39.7819,8.60879,18.7573,-3.2243,-5.44154,-10.4475,662.88,1030.63
534,14.61577044,30.9308,4.25267,3.26175,38.1527,7.92305,17.9867,-3.57624,-5.30265,-11.1858,643.155,1033.94
535,9.971641383,30.8032,2.44546,4.00308,41.4235,8.4256,-6.35271,0.252037,2.09626,178.311,629.016,971.039
536,10.07807864,30.9248,2.38702,3.78871,40.5862,8.02041,-6.51467,0.0488446,2.19273,177.79,614.434,972.365
537,10.12379941,30.9201,2.31769,3.56048,39.6542,7.57911,-6.74739,-0.181505,2.28014,177.242,599.823,973.988
538,10.1299844,30.7814,2.23715,3.31671,38.6315,7.10793,-7.05044,-0.436922,2.36131,176.673,585.177,975.895
539,10.07499038,30.5008,2.14462,3.0555,37.5225,6.6132,-7.4239,-0.715014,2.43958,176.089,570.49,978.069
540,9.976310678,30.0705,2.03898,2.77508,36.3319,6.1015,-7.86864,-1.01311,2.51861,175.494,555.756,980.492
541,21.22246507,33.2811,4.04321,8.86222,44.3214,13.6296,10.0007,0.942844,-4.82363,-5.8738,701.117,938.728
542,21.60109644,33.4433,3.98661,8.3243,43.2846,13.0977,9.58059,0.600605,-4.62309,-6.51854,682.725,940.358
543,21.8493794,33.3508,3.91594,7.73717,42.1332,12.5293,9.05871,0.241295,-4.40502,-7.18035,664.28,942.395
544,21.99203459,33.0011,3.83253,7.10806,40.8891,11.9402,8.45224,-0.130857,-4.17537,-7.85558,645.773,944.816
545,21.93497952,32.3904,3.73691,6.44376,39.5713,11.3461,7.77224,-0.511279,-3.93948,-8.53904,627.192,947.594
546,21.65441317,31.5141,3.62889,5.7508,38.1957,10.7611,7.02453,-0.895145,-3.70194,-9.22434,608.528,950.695
547,28.01978262,28.6174,0.847708,6.38161,35.6864,-2.99657,15.5699,6.74554,-7.53194,2.66291,697.074,873.538
548,28.40120127,28.619,0.726955,5.2702,34.3708,-3.27966,15.3559,5.90869,-7.54226,1.36732,681.073,876.775
549,28.61962896,28.3811,0.604278,4.15382,32.9422,-3.45803,15.0181,5.06423,-7.5238,0.0834427,664.983,880.275
550,28.58333533,27.8845,0.478742,3.04957,31.4235,-3.54789,14.559,4.22041,-7.47375,-1.17424,648.794,884.018
551,28.17297253,27.1106,0.34964,1.97485,29.837,-3.56533,13.9849,3.38536,-7.39055,-2.39347,632.501,887.982
552,27.46149782,26.041,0.21658,0.946754,28.2049,-3.52573,13.3064,2.56707,-7.27387,-3.56443,616.098,892.143
553,16.40815758,22.5273,8.10294,4.00449,14.4881,20.531,4.77469,1.53058,-6.8897,-3.2925,780.054,925.337
554,16.71299171,23.0041,8.14841,3.70013,14.095,20.1675,4.84013,1.34147,-6.571,-3.59854,763.929,926.259
555,16.89018312,23.2204,8.18089,3.36304,13.6085,19.7601,4.77683,1.12366,-6.25586,-3.92303,747.767,927.54
556,16.91270777,23.166,8.20092,2.99584,13.04,19.3156,4.59106,0.87956,-5.94918,-4.26527,731.558,929.168
557,16.77675798,22.8284,8.20853,2.60095,12.398,18.8364,4.28891,0.611529,-5.65499,-4.62337,715.296,931.128
558,16.47943081,22.1925,8.20291,2.18077,11.6885,18.3215,3.87629,0.321873,-5.37618,-4.99443,698.976,933.402
559,18.59558019,29.6012,5.07501,8.03132,26.8089,16.453,6.9377,3.3968,-5.90793,2.93365,592.141,976.364
560,18.92422579,29.4976,4.97325,7.67265,25.2533,15.7712,6.18085,3.19358,-6.07419,2.16881,573.194,976.774
561,19.09100307,29.0775,4.85478,7.26607,23.5681,15.0272,5.22631,2.96441,-6.25453,1.3634,554.138,977.66
562,19.10670521,28.3268,4.72046,6.80833,21.783,14.2272,4.08758,2.70748,-6.44503,0.524126,534.962,979.001
563,18.95692805,27.2334,4.57065,6.29646,19.9238,13.3804,2.77768,2.42167,-6.64029,-0.339993,515.657,980.774
564,18.60713176,25.7888,4.40537,5.72879,18.0138,12.4978,1.3108,2.10687,-6.83377,-1.21818,496.216,982.944
565,13.31492936,33.143,2.71516,14.6654,42.9751,-5.96031,6.85297,3.44707,-6.8919,-0.736526,631.984,916.904
566,13.46009592,33.3007,2.55916,13.5424,41.7809,-6.62789,6.84316,2.71195,-6.74014,-1.09846,615.348,918.252
567,13.51454254,33.2272,2.40477,12.3931,40.4042,-7.17392,6.74007,1.97087,-6.54441,-1.42603,598.692,919.942
568,13.48859149,32.9008,2.25279,11.2448,38.8601,-7.60077,6.53875,1.23724,-6.30682,-1.71988,582.007,921.955
569,13.36634405,32.3014,2.10203,10.1237,37.1704,-7.92115,6.23221,0.52354,-6.02987,-1.98082,565.282,924.273
570,13.14299963,31.4102,1.94954,9.05315,35.3624,-8.15469,5.81184,-0.159135,-5.71648,-2.20991,548.501,926.872
571,11.69351406,21.5316,6.17911,9.22623,19.9238,14.9794,3.82283,3.90252,-1.49539,-4.76226,729.957,999.341
572,11.79370431,21.3622,6.16016,8.96548,19.0144,14.2761,3.57458,3.72539,-1.45243,-5.18641,716.751,1001.74
573,11.8408008,21.0279,6.13435,8.65843,18.0635,13.6179,3.30724,3.5383,-1.42377,-5.63943,703.499,1004.4
574,11.855999,20.5191,6.09627,8.31515,17.0905,13.0001,3.00647,3.34371,-1.41153,-6.11921,690.195,1007.32
575,11.83785885,19.8266,6.0394,7.94775,16.1145,12.4123,2.65362,3.14407,-1.41689,-6.62255,676.835,1010.47
576,11.74469564,18.9426,5.95691,7.5689,15.1527,11.8415,2.22858,2.94176,-1.44015,-7.14533,663.414,1013.83
577,13.10300934,22.5805,1.82874,2.57476,31.85,0.861619,6.00936,-2.29791,-2.38406,-2.35753,739.805,960.708
578,13.32404341,22.8343,1.81951,2.03115,31.2377,0.864604,5.89029,-2.64069,-2.12356,-2.58202,724.144,961.792
579,13.43722668,22.9215,1.80146,1.45881,30.4514,0.88395,5.63855,-2.98922,-1.82447,-2.7897,708.387,963.335
580,13.45702286,22.8259,1.7729,0.86545,29.5107,0.911582,5.26157,-3.33936,-1.49142,-2.98397,692.527,965.318
581,13.36093308,22.5303,1.73193,0.258893,28.435,0.940335,4.7681,-3.68684,-1.12948,-3.16771,676.557,967.716
582,13.13385902,22.0174,1.67648,-0.352816,27.2435,0.964077,4.16814,-4.02715,-0.744084,-3.34329,660.473,970.5
583,14.09976977,28.0834,1.43898,3.81705,56.2829,10.1441,2.54125,-0.747239,2.27272,3.04365,663.995,918.946
584,14.33134457,28.3795,1.35585,3.48789,55.8295,8.72288,2.61974,-1.38806,1.73742,1.78887,643.003,919.888
585,14.46501361,28.5722,1.24776,2.98499,55.2397,7.24281,2.61602,-2.07694,1.24424,0.541738,621.92,921.31
586,14.49972887,28.63,1.11813,2.31498,54.4739,5.81837,2.49669,-2.79965,0.807597,-0.695474,600.756,923.21
587,14.43918418,28.5126,0.971045,1.49339,53.4997,4.56177,2.22818,-3.54156,0.438931,-1.92251,579.523,925.576
588,14.26867514,28.1719,0.810651,0.544349,52.2953,3.56448,1.77979,-4.288,0.146022,-3.14102,558.229,928.392
589,14.73325159,21.6139,5.30605,8.25255,30.9664,5.05876,3.39954,2.63432,-6.53928,-1.44122,903.014,983.565
590,14.98943571,21.9212,5.27919,7.8329,30.8829,4.6851,3.86336,2.31103,-6.48651,-2.00351,887.203,984.061
591,15.13148038,22.0738,5.23942,7.33693,30.6201,4.3787,4.20502,1.95643,-6.42677,-2.57679,871.373,985.024
592,15.1428922,22.0651,5.18585,6.77125,30.186,4.13447,4.42389,1.57422,-6.36037,-3.16048,855.516,986.443
593,15.05681245,21.8857,5.11724,6.14338,29.5895,3.94239,4.52112,1.16822,-6.28728,-3.75305,839.62,988.303
594,14.82405408,21.5239,5.03215,5.46168,28.8398,3.78929,4.49901,0.742397,-6.20708,-4.35201,823.677,990.583
595,21.93367407,21.7664,2.92706,7.17385,32.3405,14.8629,-7.23438,-2.54982,-4.66422,-8.43333,778.832,962.615
596,22.31097365,22.1375,2.91656,6.91032,31.824,14.4654,-7.191,-2.80126,-4.78126,-9.00816,761.995,963.536
597,22.4871146,22.2069,2.89451,6.56022,30.9748,13.9658,-7.39442,-3.07378,-4.84525,-9.52647,745.133,965.224
598,22.4503722,21.9553,2.86,6.13088,29.8195,13.3733,-7.85382,-3.36467,-4.85515,-9.98768,728.235,967.645
599,22.15439282,21.3628,2.81193,5.6318,28.3906,12.6957,-8.57241,-3.67029,-4.81151,-10.3925,711.29,970.754
600,21.55399424,20.4103,2.74903,5.0744,26.724,11.9395,-9.54717,-3.98606,-4.71639,-10.7428,694.287,974.493
601,10.27158443,20.9193,0.818425,4.76331,38.5402,13.884,-1.79016,-0.137479,-7.42056,-1.27905,806.826,958.721
602,10.4859451,21.2617,0.759104,4.14189,37.2982,14.0967,-2.9488,-0.501606,-7.21754,-1.80069,788.262,961.195
603,10.60290747,21.4026,0.693912,3.50193,35.9566,14.2361,-4.17284,-0.871924,-7.00717,-2.32512,769.671,963.984
604,10.62640465,21.3295,0.621127,2.85522,34.5498,14.2839,-5.43784,-1.24478,-6.79915,-2.85718,751.049,967.066
605,10.53344342,21.0307,0.538163,2.21157,33.1084,14.2314,-6.73178,-1.61675,-6.60218,-3.40065,732.391,970.415
606,10.29697117,20.4954,0.442216,1.57835,31.6577,14.0799,-8.05161,-1.98476,-6.42368,-3.95817,713.694,974.003
607,14.76182305,22.3954,-0.845652,4.91292,31.9193,-5.59495,17.7092,4.25647,-4.38722,-5.70241,682.041,974.654
608,15.00827135,22.8524,-0.913591,4.69394,31.2022,-5.72689,17.8136,4.00178,-4.44092,-6.46037,664.075,975.712
609,15.16265001,23.0589,-0.992631,4.39657,30.2812,-5.68323,17.7035,3.69315,-4.4266,-7.17951,646.034,977.297
610,15.20558613,22.995,-1.08313,4.02613,29.1915,-5.47243,17.3581,3.3347,-4.34396,-7.85654,627.91,979.368
611,15.15374905,22.6368,-1.18541,3.59025,27.9666,-5.10768,16.7613,2.93191,-4.1952,-8.48937,609.697,981.88
612,14.97870718,21.9574,-1.29947,3.09868,26.6371,-4.60667,15.9079,2.49183,-3.98488,-9.07717,591.393,984.787
613,11.60238721,34.1083,5.36439,3.22524,42.975,17.9971,10.0004,-5.69077,-13.9984,2.07714,717.055,1033.52
614,11.70956078,34.108,5.34898,2.77691,41.8011,17.6701,9.65014,-5.84056,-13.9079,1.36419,698.432,1034.45
615,11.75778395,33.9056,5.32014,2.30108,40.5097,17.2472,9.16398,-5.97609,-13.7478,0.684931,679.644,1035.87
616,11.74379458,33.4793,5.27598,1.80777,39.111,16.7256,8.53919,-6.09489,-13.5188,0.0400669,660.687,1037.76
617,11.66480161,32.8077,5.2147,1.30573,37.6134,16.1088,7.77425,-6.19547,-13.2219,-0.569589,641.559,1040.09
618,11.52981808,31.8704,5.13441,0.802213,36.0235,15.4054,6.86909,-6.27728,-12.8585,-1.14289,622.258,1042.83
619,9.123177516,22.34,1.06234,10.7268,38.5888,2.72351,-10.8332,0.175295,-13.8611,-9.33265,682.771,989.603
620,9.277089636,22.4674,0.992235,10.3089,37.8518,2.51019,-11.1304,-0.106214,-13.8858,-9.80121,666.367,991.449
621,9.359530831,22.4571,0.914961,9.81746,37.0603,2.28969,-11.415,-0.415129,-13.8848,-10.2564,649.888,993.636
622,9.35008338,22.2971,0.828729,9.25275,36.2144,2.06987,-11.7001,-0.749801,-13.8594,-10.6982,633.332,996.142
623,9.240651272,21.9759,0.730827,8.61529,35.3144,1.85622,-12.0032,-1.10846,-13.8105,-11.1262,616.696,998.941
624,9.03818081,21.4825,0.618071,7.90599,34.3611,1.65266,-12.3428,-1.48916,-13.739,-11.5393,599.98,1002.01
625,13.97660865,30.6371,2.02793,5.07362,45.1848,8.42456,17.3928,4.66657,6.04083,-5.6796,868.126,918.766
626,14.20620335,31.0189,1.94868,4.78065,43.6468,8.3402,16.3627,4.28783,6.88426,-5.77335,848.571,920.464
627,14.33251036,31.1499,1.85245,4.50624,41.925,8.27548,15.0228,3.88152,7.75511,-5.85461,828.972,922.517
628,14.35515392,31.0194,1.74108,4.25832,40.055,8.21754,13.4045,3.45366,8.64319,-5.92681,809.323,924.9
629,14.17621045,30.616,1.61472,4.04309,38.0763,8.15415,11.5347,3.01093,9.53782,-5.99355,789.616,927.584
630,13.93673761,29.9287,1.47222,3.86447,36.0316,8.07615,9.43786,2.56068,10.4281,-6.05855,769.845,930.534
631,15.03697662,30.4222,1.57406,6.47358,46.3006,1.5178,11.4433,1.81081,-9.68106,-3.8171,668.835,933.792
632,15.26778713,30.6728,1.51181,5.90904,45.3038,1.42857,10.9111,1.51326,-9.27265,-4.33655,652.761,935.517
633,15.40796873,30.7341,1.43987,5.32516,44.2035,1.35204,10.2619,1.19345,-8.85032,-4.83492,636.619,937.633
634,15.44021475,30.5976,1.35874,4.72627,43.0201,1.29134,9.50472,0.855598,-8.41697,-5.30814,620.407,940.114
635,15.36514511,30.2541,1.26852,4.11651,41.7731,1.25005,8.64776,0.504247,-7.97549,-5.75298,604.121,942.932
636,15.19415244,29.6935,1.16898,3.49957,40.48,1.23184,7.69881,0.144004,-7.52873,-6.16721,587.76,946.058
