Number,target_variable,Ankle plantar/dorsiflexion angle(бу),Ankle in/eversion angle(бу),Hip ad/abduction angle(бу),Knee flex/extension angle(бу),Knee ad/abduction angle(бу),Knee in/external rotation angle(бу),M/L pelvic lean(бу),Vertical pelvic lean(бу),Vertical trunk lean(бу),M/L COM position(mm),Vertical COM position(mm)
105,15.1948146,28.3748,1.27606,4.25264,33.2781,5.88885,11.8493,3.30031,2.78363,-9.95727,863.17,939.198
106,15.12718838,28.1284,1.14918,4.01606,31.459,5.66305,10.4237,2.94231,3.48355,-10.2435,845.593,940.671
107,14.88047885,27.6623,1.00323,3.81459,29.5552,5.44536,8.68432,2.56989,4.19833,-10.5198,827.932,942.474
108,14.57278308,26.9736,0.839427,3.64355,27.6039,5.23808,6.66492,2.1866,4.92045,-10.7837,810.181,944.577
109,16.77343081,27.27,0.649491,2.04777,39.395,0.836768,6.64395,0.119387,-9.59435,-3.78873,687.332,955.27
110,16.99640101,27.4062,0.580432,1.48566,38.6317,0.807742,6.35196,-0.147662,-9.34909,-4.47278,670.815,955.919
111,17.09617423,27.3331,0.50271,0.910289,37.753,0.825406,5.92666,-0.432765,-9.0946,-5.13516,654.204,956.985
112,17.04387987,27.0416,0.416542,0.325724,36.7773,0.884643,5.37244,-0.733591,-8.82942,-5.76746,637.492,958.452
113,16.86136179,26.522,0.321944,-0.26427,35.7222,0.97977,4.69575,-1.04743,-8.55217,-6.36224,620.676,960.299
114,16.52452332,25.7637,0.21876,-0.856235,34.6041,1.10499,3.90494,-1.37129,-8.26159,-6.91324,603.752,962.499
115,11.00270062,32.2164,4.45344,3.64529,37.8001,20.6733,8.48075,1.68711,-11.3764,-9.49668,739.7,978.667
116,11.13520628,32.1513,4.41146,3.20221,36.7788,19.9724,8.44063,1.42541,-11.4574,-10.4104,721.08,980.182
117,11.21620685,31.8926,4.36113,2.73309,35.6545,19.2243,8.288,1.16042,-11.5029,-11.2752,702.392,982.032
118,11.23696345,31.4257,4.30205,2.24837,34.4354,18.4331,8.01744,0.897604,-11.5125,-12.0969,683.627,984.194
119,11.18955738,30.7333,4.23377,1.75813,33.1269,17.6052,7.62137,0.641781,-11.4863,-12.8826,664.78,986.64
120,11.08412489,29.7948,4.15576,1.27208,31.7319,16.7487,7.09131,0.397194,-11.4249,-13.6394,645.843,989.34
121,13.36567491,26.2693,5.22093,6.68066,26.1122,13.8208,15.3735,3.47523,-1.97073,0.722068,775.171,1001.82
122,13.5241937,26.3507,5.17349,6.30701,25.1987,13.1106,15.2867,3.11597,-1.7892,0.248101,759.484,1003.39
123,13.58936247,26.2182,5.11544,5.91842,24.1831,12.3786,15.0444,2.73102,-1.61279,-0.242098,743.762,1005.31
124,13.59986274,25.8682,5.04813,5.5207,23.0813,11.6307,14.6578,2.32609,-1.4436,-0.748334,728.003,1007.54
125,13.55530038,25.2977,4.97268,5.11844,21.9108,10.8726,14.1427,1.9068,-1.28296,-1.26957,712.205,1010.09
126,13.44258654,24.504,4.88978,4.71499,20.6891,10.1102,13.5181,1.47871,-1.13139,-1.80393,696.364,1012.92
127,17.09521406,24.2412,3.76589,-2.70774,28.3765,27.1745,8.26694,-1.27154,-4.02875,-5.15067,714.208,926.744
128,17.34706718,24.1978,3.71895,-3.23408,27.6426,26.6626,8.09721,-1.61594,-4.01734,-5.79816,698.591,927.531
129,17.51021393,23.9694,3.67052,-3.77954,26.7738,26.092,7.8094,-1.97266,-3.9837,-6.44137,682.885,928.76
130,17.53862781,23.546,3.62043,-4.33782,25.7859,25.4639,7.41042,-2.33798,-3.9248,-7.07303,667.083,930.421
131,17.44672139,22.9164,3.56837,-4.90266,24.6927,24.779,6.90781,-2.70798,-3.83771,-7.68578,651.175,932.5
132,17.22089141,22.0679,3.51384,-5.46786,23.5061,24.0381,6.30942,-3.07874,-3.71991,-8.27255,635.157,934.979
133,9.698163462,25.1633,0.596945,-2.58946,32.0852,9.37257,-10.9263,-5.2621,-2.59691,0.280612,807.225,980.712
134,9.961736527,25.3159,0.529481,-3.01458,30.5767,8.9541,-11.6282,-5.35362,-2.31908,-0.0231357,788.036,983.009
135,10.09108207,25.2069,0.446699,-3.44291,28.8642,8.47322,-12.4913,-5.45195,-2.01147,-0.303883,768.789,985.655
136,10.08779448,24.815,0.35077,-3.8697,26.9732,7.94131,-13.492,-5.55709,-1.68102,-0.567447,749.481,988.62
137,9.969993441,24.1219,0.243658,-4.29057,24.9338,7.37051,-14.6064,-5.66822,-1.33515,-0.819551,730.112,991.87
138,9.751986516,23.1128,0.127167,-4.70151,22.7803,6.77334,-15.8102,-5.78379,-0.981471,-1.06577,710.68,995.367
139,20.55994466,31.3577,1.99626,3.43795,49.8209,25.241,13.6578,-2.15411,-9.13737,-2.64911,721.277,851.897
140,20.78442312,31.5204,1.93399,2.53139,49.2521,24.5849,13.5151,-2.73981,-9.08151,-3.36997,697.278,853.54
141,21.02070646,31.4241,1.8656,1.54359,48.4771,23.8631,13.2434,-3.32649,-8.95447,-4.04047,673.165,855.599
142,20.93121375,31.0436,1.7906,0.478389,47.4659,23.12,12.8058,-3.90674,-8.74966,-4.65051,648.936,858.046
143,20.62598149,30.3505,1.70852,-0.655093,46.1903,22.3958,12.1657,-4.4732,-8.46234,-5.19187,624.586,860.846
144,20.14598086,29.3119,1.6188,-1.84156,44.6267,21.7208,11.2889,-5.01895,-8.09018,-5.65892,600.115,863.964
145,19.49896071,28.2169,2.31957,5.4645,19.8454,32.4768,-6.72564,1.93917,-2.79738,-5.05554,773.113,955.055
146,19.78303816,28.8808,2.29892,5.22314,19.346,31.5458,-6.7853,1.7519,-2.61683,-5.50292,754.883,957.291
147,19.94280446,29.3392,2.28023,4.95175,18.724,30.5063,-6.92896,1.55462,-2.41351,-5.95205,736.611,959.923
148,19.96372315,29.5652,2.26263,4.65459,17.9854,29.3755,-7.17612,1.35193,-2.18756,-6.4011,718.287,962.93
149,19.90637188,29.5329,2.24506,4.33574,17.1372,28.1721,-7.54686,1.14851,-1.93889,-6.84688,699.904,966.287
150,19.68968355,29.2185,2.22633,3.99895,16.1869,26.9155,-8.06034,0.948946,-1.66719,-7.28503,681.452,969.965
151,13.2609111,26.4998,2.41673,4.13688,35.3645,18.3311,5.74913,0.817887,-4.37208,-5.93608,643.538,956.097
152,13.46267064,26.8157,2.42984,3.96682,34.4845,18.0552,5.48459,0.65429,-4.31666,-6.39475,625.743,957.23
153,13.5805231,26.9113,2.42763,3.73804,33.4622,17.7008,5.094,0.442442,-4.29019,-6.87986,607.774,958.93
154,13.57739887,26.7709,2.40916,3.44921,32.3103,17.2695,4.58122,0.188082,-4.29311,-7.39432,589.626,961.163
155,13.48182354,26.3787,2.37343,3.10022,31.0381,16.768,3.94632,-0.101323,-4.32326,-7.93811,571.299,963.89
156,13.25814959,25.7196,2.31939,2.69261,29.6521,16.2069,3.18539,-0.417019,-4.37609,-8.50841,552.797,967.064
157,12.45333781,23.8521,2.52257,16.1836,38.0296,2.42824,-4.75444,6.65505,-9.97422,0.95876,812.008,971.688
158,12.61290681,24.0422,2.41172,15.5048,36.9194,2.19457,-5.01239,6.3919,-9.52998,0.52056,796.643,973.327
159,12.69287755,24.0712,2.28495,14.7936,35.6932,1.95694,-5.35211,6.10625,-9.07001,0.0642579,781.229,975.349
160,12.66090297,23.9336,2.1443,14.0572,34.3669,1.72617,-5.77084,5.7991,-8.60259,-0.413872,765.764,977.734
161,12.5489396,23.6238,1.99129,13.3011,32.9564,1.51172,-6.26711,5.47165,-8.13468,-0.915368,750.245,980.46
162,12.3566988,23.1365,1.82688,12.5295,31.4778,1.32149,-6.84058,5.12545,-7.67177,-1.43965,734.671,983.5
163,23.55615121,24.9018,2.72951,9.06667,36.2578,6.59319,7.1721,3.96756,-9.64756,-6.13704,668.101,914.733
